s1	s2	CP
3	E	19.53
3	a	26.96
3	e	21.62
3	i	23.14
3	o	17.19
3	u	21.83
4	5	12.5
4	n	22.22
5	4	12.5
5	N	4.96
5	l	0.71
5	m	1.3
5	n	10.46
5	x	1.32
5	y	3.33
7	L	1.92
7	N	1.64
7	X	5.26
7	b	0.61
7	d	1.24
7	f	1.16
7	g	4.17
7	h	6.67
7	k	9.19
7	l	2.44
7	n	1.58
7	p	0.59
7	q	9.62
7	r	1.8
7	s	0.55
7	t	3.74
7	w	1.76
7	x	3.81
7	y	2.3
8	S	2.56
8	T	5.41
8	c	2.44
8	d	9.09
8	l	5.36
8	s	10.34
8	t	12.28
8	y	3.57
8	z	5.71
C	S	3.25
C	T	19.72
C	X	2.33
C	Z	1.67
C	c	16.24
C	d	2.63
C	g	0.75
C	h	2.53
C	j	4.26
C	k	2.15
C	l	1.21
C	n	0.53
C	r	1.81
C	s	6.11
C	t	5.88
C	x	0.9
C	y	0.57
C	z	2.47
E	3	19.53
E	a	35.67
E	e	36.36
E	i	18.13
E	o	16.17
E	u	6.47
G	X	11.11
G	k	11.11
G	q	12.5
G	x	12.5
L	3	1.67
L	7	1.92
L	T	2.7
L	Z	3.57
L	c	3.92
L	d	1.54
L	h	2.99
L	l	20
L	n	1.19
L	r	7.46
L	s	1.39
L	t	2.6
L	w	1.32
L	x	1.89
L	y	4.94
L	z	2.44
N	5	4.96
N	7	1.64
N	d	0.54
N	f	1.19
N	g	1.75
N	h	1.27
N	k	1.9
N	l	0.52
N	m	2.33
N	n	14.02
N	r	1.03
N	t	0.49
N	x	2.02
N	y	2.08
S	8	2.56
S	C	3.25
S	T	1.59
S	Z	1.96
S	c	0.97
S	h	4.72
S	j	2.74
S	k	1.97
S	n	0.65
S	r	0.75
S	s	19.08
S	t	1.32
S	x	4.08
S	y	0.68
S	z	3.85
T	8	5.41
T	C	19.72
T	L	2.7
T	S	1.59
T	Z	12.82
T	c	8.47
T	d	5.77
T	g	3.23
T	j	10.71
T	k	3.74
T	l	0.96
T	r	0.95
T	s	3.09
T	t	2.86
T	w	0.95
T	y	2.78
T	z	4
X	7	5.26
X	C	2.33
X	G	11.11
X	h	13.64
X	k	7.84
X	q	8.57
X	r	12.77
X	s	1.96
X	x	23.26
Z	C	1.67
Z	L	3.57
Z	S	1.96
Z	T	12.82
Z	c	3.85
Z	d	1.3
Z	g	1.37
Z	h	1.45
Z	j	18.75
Z	l	1.37
Z	r	3.85
Z	s	1.3
Z	y	8.22
Z	z	5.88
a	3	26.96
a	E	35.67
a	e	30.25
a	i	17.4
a	o	29.28
a	u	10.95
b	7	0.61
b	d	0.82
b	f	4.07
b	g	0.89
b	h	1.75
b	l	0.81
b	m	2.83
b	p	11.79
b	v	15.93
b	w	5.02
b	x	0.74
c	8	2.44
c	C	16.24
c	L	3.92
c	S	0.97
c	T	8.47
c	Z	3.85
c	d	2.46
c	g	1.82
c	h	2.48
c	j	7.81
c	k	0.68
c	l	1.55
c	m	0.69
c	r	0.78
c	s	10.71
c	t	4.83
c	y	2.1
c	z	2.78
d	7	1.24
d	8	9.09
d	C	2.63
d	L	1.54
d	N	0.54
d	T	5.77
d	Z	1.3
d	b	0.82
d	c	2.46
d	f	0.88
d	g	1.36
d	h	1.39
d	j	3.51
d	k	0.75
d	l	4.2
d	m	0.37
d	n	4.44
d	r	9.31
d	s	1.26
d	t	12.08
d	v	0.94
d	x	1.56
d	y	1.21
d	z	3.96
e	3	21.62
e	E	36.36
e	a	30.25
e	i	29.23
e	o	12.01
e	u	6.17
f	7	1.16
f	N	1.19
f	b	4.07
f	d	0.88
f	h	5.36
f	k	0.78
f	m	0.77
f	n	0.77
f	p	11.71
f	s	0.81
f	t	0.76
f	v	10.29
g	7	4.17
g	C	0.75
g	N	1.75
g	T	3.23
g	Z	1.37
g	b	0.89
g	c	1.82
g	d	1.36
g	h	2.59
g	j	1.85
g	k	12.86
g	l	2.25
g	m	0.4
g	n	0.4
g	q	3.77
g	r	2.15
g	s	0.45
g	v	0.99
g	x	5.93
g	y	0.88
g	z	1.09
h	7	6.67
h	C	2.53
h	L	2.99
h	N	1.27
h	S	4.72
h	X	13.64
h	Z	1.45
h	b	1.75
h	c	2.48
h	d	1.39
h	f	5.36
h	g	2.59
h	j	0.94
h	k	4.63
h	l	2.26
h	p	4.8
h	q	3.08
h	r	2.58
h	s	7.79
h	t	1.16
h	v	0.95
h	w	2.56
h	x	20.45
h	y	1.67
h	z	2.2
i	3	23.14
i	E	18.13
i	a	17.4
i	e	29.23
i	o	9.35
i	u	14.79
j	C	4.26
j	S	2.74
j	Z	18.75
j	c	7.81
j	d	3.51
j	g	1.85
j	h	0.94
j	l	4.31
j	m	0.79
j	n	0.79
j	r	0.81
j	s	0.85
j	t	2.44
j	w	0.87
j	x	1.37
j	y	10.92
j	z	8.82
k	7	9.19
k	C	2.15
k	G	11.11
k	N	1.9
k	S	1.97
k	T	3.74
k	X	7.84
k	c	0.68
k	d	0.75
k	f	0.78
k	g	12.86
k	h	4.63
k	l	0.35
k	n	0.3
k	p	0.35
k	q	15.79
k	r	0.34
k	s	0.67
k	t	2.19
k	w	0.68
k	x	7.59
k	y	0.65
l	5	0.71
l	7	2.44
l	8	5.36
l	C	1.21
l	L	20
l	N	0.52
l	T	0.96
l	Z	1.37
l	b	0.81
l	c	1.55
l	d	4.2
l	g	2.25
l	h	2.26
l	j	4.31
l	k	0.35
l	m	0.34
l	n	3.81
l	r	18.39
l	s	1.17
l	t	1.79
l	v	0.95
l	w	0.39
l	x	2.94
l	y	4.07
l	z	3.03
m	5	1.3
m	N	2.33
m	b	2.83
m	c	0.69
m	d	0.37
m	f	0.77
m	g	0.4
m	j	0.79
m	l	0.34
m	n	2.41
m	p	0.69
m	r	0.33
m	t	0.31
m	v	0.8
m	w	1
m	z	0.88
n	4	22.22
n	5	10.46
n	7	1.58
n	C	0.53
n	L	1.19
n	N	14.02
n	S	0.65
n	d	4.44
n	f	0.77
n	g	0.4
n	j	0.79
n	k	0.3
n	l	3.81
n	m	2.41
n	q	1.28
n	r	3.34
n	s	0.67
n	t	1.23
n	x	0.63
n	y	0.96
o	3	17.19
o	E	16.17
o	a	29.28
o	e	12.01
o	i	9.35
o	u	29.69
p	7	0.59
p	b	11.79
p	f	11.71
p	h	4.8
p	k	0.35
p	m	0.69
p	s	0.38
p	v	2.63
p	w	2.33
q	7	9.62
q	G	12.5
q	X	8.57
q	g	3.77
q	h	3.08
q	k	15.79
q	n	1.28
q	r	1.56
q	t	1.3
q	x	11.86
r	7	1.8
r	C	1.81
r	L	7.46
r	N	1.03
r	S	0.75
r	T	0.95
r	X	12.77
r	Z	3.85
r	c	0.78
r	d	9.31
r	g	2.15
r	h	2.58
r	j	0.81
r	k	0.34
r	l	18.39
r	m	0.33
r	n	3.34
r	q	1.56
r	s	1.51
r	t	3.42
r	w	0.75
r	x	5
r	y	4.35
r	z	7.48
s	7	0.55
s	8	10.34
s	C	6.11
s	L	1.39
s	S	19.08
s	T	3.09
s	X	1.96
s	Z	1.3
s	c	10.71
s	d	1.26
s	f	0.81
s	g	0.45
s	h	7.79
s	j	0.85
s	k	0.67
s	l	1.17
s	n	0.67
s	p	0.38
s	t	3.39
s	x	3.36
s	y	1.45
s	z	11.01
t	7	3.74
t	8	12.28
t	C	5.88
t	L	2.6
t	N	0.49
t	S	1.32
t	T	2.86
t	c	4.83
t	d	12.08
t	f	0.76
t	h	1.16
t	j	2.44
t	k	2.19
t	l	1.79
t	m	0.31
t	n	1.23
t	q	1.3
t	r	3.42
t	s	3.39
t	x	0.63
t	y	0.33
t	z	1.75
u	3	21.83
u	E	6.47
u	a	10.95
u	e	6.17
u	i	14.79
u	o	29.69
v	b	15.93
v	d	0.94
v	f	10.29
v	g	0.99
v	h	0.95
v	l	0.95
v	m	0.8
v	p	2.63
v	w	15.89
v	x	4.11
w	7	1.76
w	L	1.32
w	T	0.95
w	b	5.02
w	f	3.36
w	h	2.56
w	j	0.87
w	k	0.68
w	l	0.39
w	m	1
w	p	2.33
w	r	0.75
w	v	15.89
w	y	0.36
w	z	0.98
x	5	1.32
x	7	3.81
x	C	0.9
x	G	12.5
x	L	1.89
x	N	2.02
x	S	4.08
x	X	23.26
x	b	0.74
x	d	1.56
x	g	5.93
x	h	20.45
x	j	1.37
x	k	7.59
x	l	2.94
x	n	0.63
x	q	11.86
x	r	5
x	s	3.36
x	t	0.63
x	v	4.11
x	w	0.7
x	y	2.72
x	z	1.43
y	5	3.33
y	7	2.3
y	8	3.57
y	C	0.57
y	L	4.94
y	N	2.08
y	S	0.68
y	T	2.78
y	Z	8.22
y	c	2.1
y	d	1.21
y	g	0.88
y	h	1.67
y	j	10.92
y	k	0.65
y	l	4.07
y	n	0.96
y	r	4.35
y	s	1.45
y	t	0.33
y	w	0.36
y	x	2.72
y	z	4.63
z	8	5.71
z	C	2.47
z	L	2.44
z	S	3.85
z	T	4
z	Z	5.88
z	c	2.78
z	d	3.96
z	g	1.09
z	h	2.2
z	j	8.82
z	l	3.03
z	m	0.88
z	r	7.48
z	s	11.01
z	t	1.75
z	w	0.98
z	x	1.43
z	y	4.63
